Gene,logFC,pval,-log10p
ILMN_1732781,0.36374296991176475,0.004930557476356267,2.3071039741877373
ILMN_1784685,0.2187212755,0.0464242723723876,1.3332548944192724
ILMN_1753196,-0.1213470499411765,0.1282527275736959,0.8919333898995083
ILMN_1683520,0.3500167038529412,0.0033293878882381437,2.4776356046907315
ILMN_1659378,0.390765847117647,0.0037653530400450397,2.424194298040859
ILMN_1684847,0.3505203437941176,0.010450499144181018,1.9808629659752703
ILMN_1700144,0.0982783808823528,0.6488092697671572,0.1878829538339446
ILMN_1744534,-0.3898166172941177,0.019019758046675595,1.7207950120916662
ILMN_1753026,0.19749477252941178,0.03971132591290371,1.4010856121291613
ILMN_1679177,0.2197266190882353,0.0011234966156544372,2.9494282314823392
ILMN_1720041,0.4333518808529412,0.0006502580717623553,3.186914248128487
ILMN_1680626,0.05964648741176468,0.68724744666371,0.16288686501948288
ILMN_1912611,0.35170490323529413,0.010162141818895676,1.9930147485386882
ILMN_1815668,-0.1702054239117647,0.18544072130387584,0.7317948921134181
ILMN_1849124,0.2953648073235294,0.007229125571310851,2.1409142314082743
ILMN_2360028,-0.15684094870588236,0.017234446442631817,1.7636026612418891
ILMN_1726280,0.339085041882353,0.008648149664127696,2.0630768031270903
ILMN_2215965,0.39229268002941176,0.002552355775809631,2.5930587889235825
ILMN_1791728,0.17652185435294115,0.333799330403187,0.47651453884458717
ILMN_2138631,0.36715678514705885,0.002779215693480104,2.5560777465464555
ILMN_1761945,-0.016850428764705855,0.8841617378523496,0.053468283140998434
ILMN_2218024,0.41470385947058824,0.000692717724299547,3.159443700096652
ILMN_2314244,0.3055772984117647,0.0015775205915062767,2.8020249631651692
ILMN_2194355,0.363071664117647,0.0014401426656106802,2.841594483030833
ILMN_1806313,0.38324840264705884,0.0028309519918510175,2.5480674954709888
ILMN_1810540,0.30274959038235294,0.005494740662153576,2.2600528003566893
ILMN_1697189,-0.0027889617352940942,0.9867072401598744,0.005811685064181964
ILMN_1896082,0.42603478947058826,0.0011904987696731697,2.9242710490826456
ILMN_2399893,-0.27212435952941183,0.11106832552685356,0.9544097755343239
ILMN_1740165,-0.1966938849117647,0.14774636540748415,0.8304831940534005
ILMN_1802654,-0.26546359947058823,0.17907014235252391,0.7469768211443953
ILMN_1760732,0.37074574429411766,0.004186040532487673,2.378196570801319
ILMN_1680927,0.008783799411764708,0.919600212325232,0.03640093712908959
ILMN_1745623,-0.1377356453235294,0.16468997902700366,0.7833328257584709
ILMN_1722642,0.08734963929411765,0.24504194609597443,0.6107595670691511
ILMN_1761131,-0.07027437479411763,0.718647027581382,0.14348436638155135
ILMN_1751141,0.25783998820588233,0.016649295324561535,1.7786041431264787
ILMN_1851376,0.25709215155882353,0.012412271359638093,1.906148738348491
